#chrom	start	end	size	num_data	min	max	mean	median	sum
chr12	1940100	1940691	591	591	7.00	21.00	12.96	13.00	7662.00
chr1	27480473	27481381	908	908	2.00	23.00	8.94	8.00	8120.00
chr15	63112684	63112809	125	125	60.00	83.00	70.72	72.00	8840.00
chr5	149231737	149232254	517	517	1.00	6.00	2.62	3.00	1353.00
chr5	140865429	140867182	1753	1753	1.00	23.00	6.84	7.00	11997.00
chr1	32209793	32209958	165	165	55.00	96.00	76.55	74.00	12630.00
chr16	87873307	87873431	124	124	47.00	75.00	62.62	68.00	7765.00
chr17	34157438	34158175	737	737	0.00	8.00	4.04	4.00	2977.00
chr2	127815619	127816088	469	469	4.00	29.00	15.83	14.00	7425.00
chr1	208212965	208213112	147	147	8.00	22.00	14.13	14.00	2077.00
chr22	19703883	19704666	783	783	7.00	28.00	16.89	17.00	13228.00
chr16	87872319	87872423	104	104	48.00	76.00	61.29	57.50	6374.00
chr9	140055740	140055868	128	128	352.00	510.00	419.17	418.00	53654.00
chr22	21096515	21096643	128	128	121.00	154.00	139.03	140.00	17796.00
chr9	140056321	140056540	219	219	2.00	638.00	417.97	542.00	91536.00
chr11	78379981	78380253	272	272	4.00	12.00	7.76	8.00	2112.00
chr3	11070420	11070533	113	113	83.00	117.00	98.86	98.00	11171.00
chr1	109812554	109813222	668	668	12.00	411.00	189.56	294.00	126628.00
chr2	220161954	220162155	201	201	251.00	387.00	317.88	323.00	63893.00
chr15	74706887	74707086	199	199	26.00	48.00	36.10	35.00	7184.00
chr17	7318829	7319426	597	597	57.00	144.00	91.54	87.00	54648.00
chr1	21560050	21560154	104	104	11.00	18.00	13.91	13.00	1447.00
chr1	25573799	25573952	153	153	1.00	123.00	78.08	92.00	11946.00
chr14	93198993	93199160	167	167	30.00	46.00	36.98	37.00	6175.00
chr1	205554003	205554119	116	116	39.00	75.00	55.05	54.00	6386.00
chr1	9795005	9795232	227	227	327.00	545.00	415.48	415.00	94313.00
chr17	42426525	42426670	145	145	29.00	59.00	48.47	51.00	7028.00
chr18	70205887	70206179	292	292	1.00	31.00	11.61	3.00	3390.00
chr1	205553082	205553251	169	169	60.00	85.00	70.15	70.00	11856.00
chr9	140056623	140056766	143	143	8.00	600.00	390.64	444.00	55862.00
chr6	33412147	33412394	247	247	17.00	195.00	119.89	158.00	29612.00
chr12	89992366	89992547	181	181	0.00	195.00	141.67	165.00	25643.00
chr2	220088827	220089576	749	749	20.00	73.00	45.31	43.00	33934.00
chr14	100763073	100765222	2149	2149	2.00	35.00	11.79	11.00	25330.00
chr1	110740697	110742543	1846	1846	1.00	233.00	115.65	113.00	213496.00
chr1	149878201	149879758	1557	1557	1.00	356.00	73.19	9.00	113963.00
chr3	197264139	197265259	1120	1120	0.00	11.00	4.57	5.00	5116.00
chr8	56449623	56450530	907	907	0.00	10.00	4.65	5.00	4219.00
chr9	139354208	139354326	118	118	13.00	30.00	20.33	19.00	2399.00
chr1	32204908	32205236	328	328	165.00	242.00	205.35	205.00	67356.00
chr7	75608768	75608897	129	129	35.00	58.00	46.53	48.00	6002.00
chr19	45161029	45161178	149	149	10.00	21.00	16.20	16.00	2414.00
