#chrom	start	end	size	num_data	min	max	mean	median	sum
chr12	1940100	1940691	591	591	0.00	5.00	0.42	0.00	249.00
chr1	27480473	27481381	908	908	8.00	40.00	24.46	25.00	22207.00
chr15	63112684	63112809	125	125	47.00	79.00	61.94	63.00	7743.00
chr5	149231737	149232254	517	517	18.00	45.00	28.70	28.00	14840.00
chr5	140865429	140867182	1753	1753	35.00	131.00	75.58	74.00	132487.00
chr1	32209793	32209958	165	165	15.00	28.00	20.61	20.00	3401.00
chr16	87873307	87873431	124	124	28.00	54.00	41.99	42.00	5207.00
chr17	34157438	34158175	737	737	2.00	31.00	12.73	12.00	9382.00
chr2	127815619	127816088	469	469	7.00	26.00	18.44	19.00	8647.00
chr1	208212965	208213112	147	147	48.00	76.00	60.24	59.00	8856.00
chr22	19703883	19704666	783	783	26.00	104.00	71.68	74.00	56129.00
chr16	87872319	87872423	104	104	32.00	59.00	46.49	45.00	4835.00
chr9	140055740	140055868	128	128	337.00	440.00	389.94	394.00	49912.00
chr22	21096515	21096643	128	128	209.00	276.00	239.43	240.00	30647.00
chr9	140056321	140056540	219	219	0.00	593.00	378.02	491.00	82787.00
chr11	78379981	78380253	272	272	0.00	2.00	0.49	0.00	133.00
chr3	11070420	11070533	113	113	23.00	35.00	29.70	30.00	3356.00
chr1	109812554	109813222	668	668	7.00	121.00	60.36	87.00	40319.00
chr2	220161954	220162155	201	201	308.00	457.00	396.08	405.00	79612.00
chr15	74706887	74707086	199	199	52.00	77.00	64.20	65.00	12776.00
chr17	7318829	7319426	597	597	131.00	363.00	231.63	227.00	138285.00
chr1	21560050	21560154	104	104	2.00	5.00	3.08	3.00	320.00
chr1	25573799	25573952	153	153	11.00	266.00	165.60	186.00	25337.00
chr14	93198993	93199160	167	167	33.00	79.00	44.48	44.00	7428.00
chr1	205554003	205554119	116	116	52.00	91.00	72.70	75.00	8433.00
chr1	9795005	9795232	227	227	1240.00	1618.00	1390.24	1390.00	315584.00
chr17	42426525	42426670	145	145	50.00	93.00	72.94	74.00	10577.00
chr18	70205887	70206179	292	292	0.00	2.00	0.38	0.00	111.00
chr1	205553082	205553251	169	169	81.00	107.00	90.84	91.00	15352.00
chr9	140056623	140056766	143	143	8.00	534.00	344.79	387.00	49305.00
chr6	33412147	33412394	247	247	10.00	127.00	75.04	90.00	18534.00
chr12	89992366	89992547	181	181	4.00	176.00	126.80	145.00	22951.00
chr2	220088827	220089576	749	749	83.00	178.00	118.91	114.00	89066.00
chr14	100763073	100765222	2149	2149	1.00	32.00	9.97	10.00	21427.00
chr1	110740697	110742543	1846	1846	0.00	237.00	136.90	135.00	252712.00
chr1	149878201	149879758	1557	1557	18.00	481.00	143.53	62.00	223479.00
chr3	197264139	197265259	1120	1120	5.00	44.00	25.40	26.00	28451.00
chr8	56449623	56450530	907	907	0.00	7.00	2.58	2.00	2337.00
chr9	139354208	139354326	118	118	76.00	98.00	87.04	87.00	10271.00
chr1	32204908	32205236	328	328	42.00	97.00	67.94	67.00	22283.00
chr7	75608768	75608897	129	129	49.00	75.00	59.85	59.00	7721.00
chr19	45161029	45161178	149	149	25.00	37.00	31.03	31.00	4623.00
chr19	5243911	5244493	582	582	13.00	29.00	19.48	18.00	11337.00
chr6	32119585	32119717	132	132	10.00	381.00	206.15	232.00	27212.00
chr3	42670878	42672067	1189	1189	0.00	26.00	6.60	7.00	7845.00
chr11	45892392	45892485	93	93	127.00	153.00	139.98	140.00	13018.00
chr17	80040789	80040991	202	202	337.00	451.00	386.66	385.50	78105.00
chr2	74902875	74903036	161	161	22.00	38.00	30.09	30.00	4844.00
chr17	38335969	38337946	1977	1977	1.00	85.00	13.69	11.00	27066.00
chr16	87870103	87870253	150	150	38.00	63.00	47.09	44.00	7063.00
chr1	32205947	32206142	195	195	36.00	64.00	50.76	49.00	9898.00
chr6	44117553	44117702	149	149	27.00	228.00	157.43	196.00	23457.00
chr1	159163659	159163830	171	171	1400.00	1777.00	1610.20	1605.00	275344.00
chr3	445565	446023	458	458	0.00	1.00	0.33	0.00	152.00
chr2	25048913	25048995	82	82	104.00	133.00	121.23	123.00	9941.00
chr10	99504485	99504672	187	187	35.00	76.00	54.11	58.00	10118.00
chr4	54364807	54365010	203	203	5.00	23.00	13.53	12.00	2746.00
chr17	1634367	1634552	185	185	15.00	39.00	26.10	25.00	4828.00
chr7	72416124	72416247	123	123	101.00	123.00	111.42	111.00	13705.00
chr1	208212169	208212329	160	160	40.00	64.00	52.66	54.00	8426.00
chr9	140952500	140952702	202	202	30.00	51.00	38.81	37.00	7839.00
chr6	44197325	44197528	203	203	53.00	87.00	70.54	73.00	14320.00
chr6	44197643	44198218	575	575	36.00	86.00	62.64	65.00	36017.00
chr11	118981972	118982084	112	112	101.00	131.00	117.38	118.00	13146.00
chr5	150503846	150503952	106	106	22.00	618.00	390.42	478.00	41385.00
chr11	118981761	118981878	117	117	101.00	145.00	115.89	115.00	13559.00
chr11	126314873	126315000	127	127	41.00	54.00	47.67	47.00	6054.00
chr1	159165808	159166244	436	436	70.00	1964.00	449.23	139.00	195863.00
chr7	134893542	134893750	208	208	24.00	42.00	32.67	33.00	6795.00
chr9	121976196	121976433	237	237	98.00	199.00	137.19	133.00	32515.00
chr19	54691042	54691169	127	127	52.00	75.00	61.98	61.00	7871.00
chr22	38621430	38621600	170	170	50.00	81.00	68.33	71.00	11616.00
chr13	42035681	42036205	524	524	0.00	3.00	0.58	0.00	304.00
chr20	1915360	1915413	53	53	11.00	466.00	325.49	404.00	17251.00
chr5	14496987	14497126	139	139	141.00	216.00	183.68	183.00	25531.00
chr12	56528125	56528212	87	87	33.00	51.00	42.11	42.00	3664.00
chr3	47466974	47467101	127	127	78.00	101.00	86.59	86.00	10997.00
chr17	7415476	7415663	187	187	168.00	261.00	213.55	212.00	39934.00
chr3	33588037	33589252	1215	1215	3.00	32.00	17.06	17.00	20730.00
chr7	887833	888615	782	782	24.00	75.00	43.66	42.00	34145.00
chr10	24813251	24813693	442	442	0.00	5.00	1.41	1.00	622.00
chr1	109812045	109812213	168	168	54.00	75.00	63.66	63.50	10695.00
chr19	15276597	15276902	305	305	7.00	22.00	14.25	14.00	4347.00
chr16	2334779	2334999	220	220	129.00	220.00	171.83	168.50	37802.00
chr16	68404761	68405261	500	500	6.00	32.00	20.36	21.00	10181.00
chr4	110969111	110969871	760	760	5.00	28.00	17.99	18.00	13676.00
chr1	145693161	145693996	835	835	30.00	141.00	90.88	91.00	75884.00
chr7	44282848	44282932	84	84	1098.00	1216.00	1159.21	1159.50	97374.00
chr2	220164315	220164508	193	193	34.00	239.00	120.18	50.00	23194.00
chr12	50472203	50472360	157	157	54.00	71.00	62.06	62.00	9744.00
chr2	220163768	220163833	65	65	361.00	414.00	385.11	386.00	25032.00
chr2	222289928	222290862	934	934	22.00	61.00	37.00	37.00	34557.00
chr12	57599133	57599268	135	135	206.00	329.00	267.96	265.00	36174.00
chr7	157475416	157475629	213	213	44.00	70.00	57.24	56.00	12193.00
chr1	32203800	32203927	127	127	45.00	90.00	71.29	75.00	9054.00
chr1	109811731	109811912	181	181	41.00	60.00	50.38	51.00	9119.00
chr9	140052830	140052975	145	145	298.00	576.00	462.61	513.00	67078.00
chr2	220161706	220161854	148	148	383.00	593.00	455.34	428.00	67391.00
chr16	29896906	29897070	164	164	599.00	940.00	787.32	786.00	129121.00
chr16	47143393	47143622	229	229	26.00	46.00	36.97	38.00	8467.00
chr11	993753	993985	232	232	268.00	496.00	388.12	394.00	90045.00
chr9	124059698	124061137	1439	1439	0.00	8.00	1.37	1.00	1976.00
chr9	140350140	140350634	494	494	0.00	7.00	2.94	3.00	1453.00
chr11	14504577	14504697	120	120	62.00	81.00	72.03	72.00	8643.00
chr3	49898612	49898733	121	121	1.00	4.00	2.74	3.00	331.00
chr9	131811659	131811777	118	118	60.00	82.00	69.36	68.50	8184.00
chr9	131810705	131810818	113	113	63.00	95.00	81.55	83.00	9215.00
chr1	223400935	223401080	145	145	43.00	78.00	58.50	57.00	8482.00
chr12	125612185	125612820	635	635	6.00	57.00	16.69	12.00	10599.00
chr2	220088590	220088744	154	154	106.00	157.00	134.81	139.00	20761.00
