#chrom	start	end	size	num_data	min	max	mean	median	sum
chr12	1940100	1940691	591	591	3.00	20.00	10.21	10.00	6033.00
chr1	27480473	27481381	908	908	11.00	40.00	23.26	22.00	21120.00
chr15	63112684	63112809	125	125	69.00	113.00	92.06	93.00	11507.00
chr5	149231737	149232254	517	517	3.00	14.00	6.26	5.00	3234.00
chr5	140865429	140867182	1753	1753	10.00	43.00	25.58	25.00	44843.00
chr1	32209793	32209958	165	165	30.00	50.00	42.73	44.00	7050.00
chr16	87873307	87873431	124	124	54.00	105.00	86.98	93.00	10785.00
chr17	34157438	34158175	737	737	0.00	11.00	4.30	4.00	3172.00
chr2	127815619	127816088	469	469	4.00	18.00	11.29	11.00	5293.00
chr1	208212965	208213112	147	147	4.00	13.00	7.70	8.00	1132.00
chr22	19703883	19704666	783	783	4.00	17.00	12.47	13.00	9767.00
chr16	87872319	87872423	104	104	58.00	114.00	87.24	87.00	9073.00
chr9	140055740	140055868	128	128	359.00	508.00	421.77	412.00	53986.00
chr22	21096515	21096643	128	128	82.00	115.00	97.09	97.00	12427.00
chr9	140056321	140056540	219	219	0.00	588.00	386.07	495.00	84549.00
chr11	78379981	78380253	272	272	7.00	20.00	11.28	10.00	3067.00
chr3	11070420	11070533	113	113	120.00	162.00	136.01	136.00	15369.00
chr1	109812554	109813222	668	668	3.00	221.00	96.48	141.50	64447.00
chr2	220161954	220162155	201	201	202.00	306.00	256.04	264.00	51465.00
chr15	74706887	74707086	199	199	83.00	140.00	105.56	105.00	21007.00
chr17	7318829	7319426	597	597	53.00	123.00	85.84	85.00	51247.00
chr1	21560050	21560154	104	104	13.00	36.00	26.44	28.50	2750.00
chr1	25573799	25573952	153	153	5.00	212.00	128.53	159.00	19665.00
chr14	93198993	93199160	167	167	30.00	43.00	36.22	36.00	6048.00
chr1	205554003	205554119	116	116	23.00	34.00	29.03	29.50	3367.00
chr1	9795005	9795232	227	227	342.00	505.00	422.15	424.00	95827.00
chr17	42426525	42426670	145	145	52.00	93.00	74.99	75.00	10874.00
chr18	70205887	70206179	292	292	0.00	62.00	20.43	1.00	5966.00
chr1	205553082	205553251	169	169	20.00	42.00	31.63	32.00	5345.00
chr9	140056623	140056766	143	143	2.00	511.00	327.92	372.00	46892.00
chr6	33412147	33412394	247	247	2.00	38.00	21.92	30.00	5414.00
chr12	89992366	89992547	181	181	0.00	28.00	18.62	21.00	3371.00
chr2	220088827	220089576	749	749	43.00	101.00	70.36	72.00	52700.00
chr14	100763073	100765222	2149	2149	10.00	113.00	50.28	50.00	108059.00
chr1	110740697	110742543	1846	1846	0.00	180.00	119.13	123.00	219916.00
chr1	149878201	149879758	1557	1557	1.00	455.00	119.72	10.00	186406.00
chr3	197264139	197265259	1120	1120	0.00	16.00	4.53	3.00	5076.00
chr8	56449623	56450530	907	907	0.00	6.00	1.51	1.00	1368.00
chr9	139354208	139354326	118	118	18.00	28.00	22.78	23.00	2688.00
chr1	32204908	32205236	328	328	50.00	90.00	70.95	72.00	23271.00
chr7	75608768	75608897	129	129	45.00	66.00	55.20	55.00	7121.00
chr19	45161029	45161178	149	149	16.00	34.00	26.19	28.00	3902.00
chr19	5243911	5244493	582	582	24.00	65.00	40.60	36.00	23632.00
chr6	32119585	32119717	132	132	1.00	84.00	44.54	51.00	5879.00
chr3	42670878	42672067	1189	1189	0.00	12.00	3.59	3.00	4264.00
chr11	45892392	45892485	93	93	20.00	36.00	27.22	28.00	2531.00
chr17	80040789	80040991	202	202	178.00	283.00	219.16	211.50	44271.00
chr2	74902875	74903036	161	161	10.00	18.00	13.47	13.00	2168.00
chr17	38335969	38337946	1977	1977	0.00	42.00	7.35	6.00	14533.00
chr16	87870103	87870253	150	150	80.00	124.00	101.85	103.00	15278.00
chr1	32205947	32206142	195	195	46.00	78.00	62.64	63.00	12214.00
chr6	44117553	44117702	149	149	5.00	140.00	93.09	126.00	13870.00
chr1	159163659	159163830	171	171	228.00	301.00	271.18	272.00	46372.00
chr3	445565	446023	458	458	0.00	2.00	0.66	0.00	304.00
chr2	25048913	25048995	82	82	91.00	110.00	101.57	101.00	8329.00
chr10	99504485	99504672	187	187	32.00	60.00	44.65	45.00	8349.00
chr4	54364807	54365010	203	203	6.00	19.00	11.56	11.00	2346.00
chr17	1634367	1634552	185	185	11.00	24.00	18.84	19.00	3485.00
chr7	72416124	72416247	123	123	30.00	49.00	37.15	37.00	4569.00
chr1	208212169	208212329	160	160	4.00	9.00	6.64	6.00	1062.00
chr9	140952500	140952702	202	202	10.00	23.00	14.97	15.00	3023.00
chr6	44197325	44197528	203	203	34.00	60.00	46.67	47.00	9473.00
chr6	44197643	44198218	575	575	8.00	53.00	25.45	22.00	14632.00
chr11	118981972	118982084	112	112	47.00	60.00	53.32	54.00	5972.00
chr5	150503846	150503952	106	106	1.00	597.00	400.17	514.50	42418.00
chr11	118981761	118981878	117	117	46.00	78.00	62.09	64.00	7264.00
chr11	126314873	126315000	127	127	46.00	72.00	57.13	57.00	7255.00
chr1	159165808	159166244	436	436	2.00	331.00	61.27	4.00	26715.00
