#chrom	start	end	size	num_data	min	max	mean	median	sum
chr12	1940100	1940691	591	591	31.00	70.00	45.73	45.00	27028.00
chr1	27480473	27481381	908	908	14.00	56.00	32.62	31.00	29615.00
chr15	63112684	63112809	125	125	143.00	193.00	173.62	175.00	21702.00
chr5	149231737	149232254	517	517	2.00	18.00	11.35	12.00	5869.00
chr5	140865429	140867182	1753	1753	4.00	49.00	23.57	23.00	41323.00
chr1	32209793	32209958	165	165	90.00	149.00	126.70	127.00	20905.00
chr16	87873307	87873431	124	124	97.00	163.00	137.48	144.50	17047.00
chr17	34157438	34158175	737	737	1.00	17.00	6.85	6.00	5047.00
chr2	127815619	127816088	469	469	5.00	26.00	14.27	15.00	6693.00
chr1	208212965	208213112	147	147	44.00	64.00	53.51	53.00	7866.00
chr22	19703883	19704666	783	783	7.00	38.00	20.69	20.00	16203.00
chr16	87872319	87872423	104	104	105.00	172.00	133.07	135.00	13839.00
chr9	140055740	140055868	128	128	776.00	1028.00	897.96	898.00	114939.00
chr22	21096515	21096643	128	128	352.00	454.00	396.17	394.50	50710.00
chr9	140056321	140056540	219	219	2.00	1339.00	832.90	1085.00	182406.00
chr11	78379981	78380253	272	272	5.00	19.00	11.38	11.00	3095.00
chr3	11070420	11070533	113	113	218.00	304.00	265.58	275.00	30010.00
chr1	109812554	109813222	668	668	11.00	300.00	139.36	193.00	93093.00
chr2	220161954	220162155	201	201	442.00	726.00	576.28	593.00	115833.00
chr15	74706887	74707086	199	199	65.00	97.00	77.33	75.00	15388.00
chr17	7318829	7319426	597	597	118.00	252.00	168.81	162.00	100781.00
chr1	21560050	21560154	104	104	34.00	59.00	44.00	44.50	4576.00
chr1	25573799	25573952	153	153	3.00	141.00	87.03	101.00	13315.00
chr14	93198993	93199160	167	167	58.00	90.00	73.69	74.00	12306.00
chr1	205554003	205554119	116	116	122.00	169.00	142.41	142.50	16519.00
chr1	9795005	9795232	227	227	1075.00	1443.00	1236.59	1228.00	280706.00
chr17	42426525	42426670	145	145	39.00	77.00	62.91	66.00	9122.00
chr18	70205887	70206179	292	292	4.00	222.00	82.68	15.00	24142.00
chr1	205553082	205553251	169	169	124.00	174.00	150.49	147.00	25432.00
chr9	140056623	140056766	143	143	15.00	1170.00	759.03	847.00	108541.00
chr6	33412147	33412394	247	247	16.00	254.00	145.23	188.00	35871.00
chr12	89992366	89992547	181	181	2.00	390.00	291.73	343.00	52804.00
chr2	220088827	220089576	749	749	65.00	143.00	106.11	110.00	79475.00
